osm_id,ktCO2,ktC,mean_cars
1062572004,0,0.03,452.2
1062572005,0,0.08,480.95
1062572006,0.01,0.21,539.96
1062572007,0,0.04,535.35
1062572008,0.01,0.15,537.51
1062572009,0,0.05,534.29
1062572010,0,0.1,542.02
1062572011,0,0.02,542.38
1062590998,0,0.08,547.79
1062590999,0,0.06,487.41
1062591000,0,0.04,484.94
1062591004,0.01,0.28,458.51
1062653497,0.01,0.13,492.85
106277650,0,0.09,554.88
106277831,0.01,0.26,559.93
106310123,0,0.05,516.47
106310127,0.01,0.19,478.65
106310133,0.01,0.17,486.42
1064492613,0.01,0.18,323.52
1064492614,0,0.06,333.03
1064541351,0.01,0.24,495.5
1064541361,0,0.11,547.73
1064541530,0.01,0.31,547.34
1064830458,0,0.02,494.28
1064845309,0,0.01,486.82
1065275721,0,0.04,467.78
1065275722,0,0.03,470.69
1065275723,0,0.04,393.49
1065275724,0,0.04,392.6
1065317950,0.01,0.31,482.34
1065317951,0,0.02,500.56
1065328219,0,0.02,485.37
1065328220,0,0.02,463.46
1065328221,0,0,340.59
1065328222,0,0.02,363.94
1065369232,0,0.05,460.92
1065916212,0,0.03,502.18
1065916213,0,0.1,506.27
1065916215,0,0.11,533.04
1065916216,0,0.04,524.96
1065916217,0,0.04,531.44
1065958772,0.01,0.3,548.44
1066743600,0,0.02,484.91
1067161462,0,0.03,535.94
1067484231,0,0.03,485.15
1067561741,0,0.06,488.32
1067561742,0.01,0.12,469.06
1067561743,0,0.03,468.12
1067561744,0,0.04,467.48
1067561745,0,0.07,455.81
1067561746,0,0.04,452.37
1067561747,0,0.06,458.7
1067561748,0.01,0.16,498.31
1067561749,0,0.09,500.01
1067561751,0,0.03,488.74
1067561752,0,0.06,527.07
1067561753,0.01,0.12,522.06
1067561754,0,0.1,500.89
1067561755,0,0.1,456.56
1067561758,0,0.05,487.49
1067563143,0,0.02,459.42
1067724386,0,0.02,485.29
1067724387,0,0.02,485.39
1067724388,0,0.01,51.11
1067724389,0,0.02,485.27
1067724390,0,0.02,485.78
1067724391,0,0.02,485.78
106820465,0,0.02,467.38
106838214,0,0.02,485.52
106838216,0.01,0.22,448.84
1068857237,0.01,0.23,487.26
1068857238,0,0.01,492.44
1068936253,0.01,0.18,583.04
1068936254,0,0.07,570.83
1069088216,0,0.07,483.92
1069372304,0.01,0.29,500.98
1069372305,0.01,0.17,482.59
1069377279,0,0.04,502.84
1069710033,0,0.01,526.08
10699438,0,0.1,534.37
1070108611,0,0.02,484.1
1070108612,0,0.02,482.85
1070523757,0,0.02,536.58
1070541519,0,0.02,375.54
1071216644,0.01,0.12,544.93
1071216648,0.01,0.12,460.96
1071216649,0.01,0.14,460.04
1071216651,0,0.01,479.04
1071216652,0,0.01,494.92
1071289462,0,0.03,500.54
1071291894,0,0.01,457.83
1071291897,0,0.09,513.57
1071291898,0.01,0.17,549.45
1071297586,0,0.07,510.42
107196020,0,0.07,351.15
1072169602,0,0.03,486.57
1072269112,0,0.1,490.4
1072269113,0,0.03,455.81
1072598895,0,0.05,480.4
1072601718,0,0.05,475.72
1072659579,0,0.02,360.54
1072659580,0,0.09,394.12
1072894172,0,0.01,472.53
1072894173,0,0.04,472.63
1072899060,0,0.01,472.43
1072899061,0,0.03,473.14
10735918,0,0.04,506.36
1074042012,0,0.04,488.92
1074042013,0,0.04,482.94
1074042015,0,0.03,489.58
1074042016,0,0.04,544.33
1074042017,0,0.01,523.92
1074113696,0,0.08,459.69
1074113697,0.01,0.18,487.17
1074113698,0,0.07,487.02
1074113699,0.01,0.2,482.63
1074183036,0,0.01,482.67
1074192150,0,0.04,479.8
10742555,0,0,497.19
1074286969,0,0.04,465.75
1074286970,0,0.04,466.31
1074453166,0,0.04,443.14
1074453167,0,0.03,364.12
1074461068,0,0,484.2
1074461069,0,0.03,492.04
1074461070,0,0.02,489.39
107454449,0.01,0.18,468.22
107454450,0,0.02,461
10752301,0,0.01,441.13
10752302,0.01,0.28,485.81
10752306,0,0.01,477.77
10755204,0,0.1,541.05
10755226,0.01,0.15,544.99
10755385,0,0.1,498.25
10755765,0.02,0.36,478.96
1075708742,0.03,0.59,461
1075776393,0,0.02,543.42
1075776396,0.01,0.25,543.03
1075784364,0,0.09,512.77
1075784367,0,0.09,507.4
1075784368,0,0.03,521.07
1076446008,0,0.05,484.21
1076446009,0.01,0.21,484.61
1076483301,0,0.01,489.98
1076497021,0,0.09,474.19
1076497025,0,0.05,472.2
1076523515,0,0.05,467.18
1076562009,0,0.04,536.03
1076616239,0.01,0.2,538.81
1076616240,0.01,0.14,536.27
1077057091,0,0.05,454.22
1077137263,0,0.01,517.05
1077209078,0,0.04,531.27
1077411457,0,0.08,556.81
1077411761,0.01,0.15,555.94
10774938,0,0.08,563.21
10775114,0.02,0.52,487.07
1077516451,0,0.11,487.97
1077516452,0,0.03,540.25
1077517939,0,0.02,508.69
1077567346,0,0.05,517.01
1077567347,0.01,0.21,514.5
10776185,0,0.06,452.98
10776194,0,0.02,482.43
1077708836,0,0.01,531.81
1077708837,0,0.01,531.99
1077708838,0,0.01,531.83
1077708839,0,0.01,531.83
1077708840,0,0.02,532.1
1077708841,0,0.01,531.83
1077708846,0,0.08,529.25
1077708848,0,0.09,536.28
107780775,0,0.02,544.93
1077923225,0,0.07,434.75
10781105,0,0.03,492.28
10781127,0.01,0.27,482.95
1078324508,0.01,0.15,447.04
1078324509,0,0.06,468.38
1078768082,0,0.03,544.09
1078770496,0.01,0.16,463.32
1078790584,0,0.1,485.06
1078792484,0,0.09,501.82
1078838009,0.01,0.21,486.9
1078838010,0.01,0.15,505.33
1078852441,0.01,0.18,453.93
1078864317,0.01,0.15,531.71
1078927376,0.01,0.14,548.36
1078977673,0,0.03,320.64
1078979485,0,0.1,469.58
1078984188,0,0.07,490.93
1078985030,0,0.1,490.23
1079046936,0,0.01,496.51
1079046937,0,0.06,498.12
1079046938,0,0.01,497.22
1079072416,0.01,0.13,489.12
1079110199,0,0.08,543.96
1079127198,0,0.05,497.83
1079198620,0,0.08,491.83
1079198622,0,0.08,491.83
1079224523,0,0.01,587.85
1079235605,0.01,0.23,491.15
1079242321,0,0.01,391.56
1079242322,0,0.01,394.61
1079242323,0,0.02,391.78
1079246319,0,0.06,493.16
1079246364,0.01,0.17,494.01
1079246365,0,0.03,486.25
1079310023,0,0.04,471.01
1079310024,0,0.03,471.73
1079310026,0,0.09,454.26
1079310027,0,0.05,438.75
1079316193,0,0.05,505.76
1079316194,0,0.05,500.84
1079319454,0,0.02,547.4
1079319456,0,0.01,548.63
1079319457,0,0.05,550.07
1079319458,0,0.01,553.81
1079319459,0.01,0.15,557.13
1079319460,0,0.02,547.33
1079319461,0,0.02,547.3
1079319462,0,0.05,546.01
1079319463,0,0.03,554.18
1079319464,0.01,0.26,551.94
1079319466,0,0.06,554.35
1079319467,0.01,0.28,552.11
1079319468,0,0.02,547.42
1079319469,0,0.06,548.04
1079319470,0,0.05,546.11
1079319471,0,0.01,546.63
1079319472,0,0,547.04
1079383678,0.01,0.16,536.18
1079385854,0.01,0.15,543.81
1079386620,0,0.09,551.27
1079386660,0,0.05,458.13
1079440906,0,0.05,513.73
1079440907,0,0.02,514.94
1079440909,0,0.06,448.87
1079495669,0,0.06,434.78
1079525813,0,0.03,484.54
1079661312,0,0.02,538.85
1079699352,0.01,0.25,543.68
1079699353,0,0.03,539.91
1079699354,0.01,0.12,542.73
1079699355,0.01,0.16,549.62
1079699356,0,0.05,504.02
1079700904,0.04,0.85,505.3
